"HALL_ID";"THEATRE_ID";"HALL_NAME";"PLACES";"EXP_3D";"EXP_IMAX";"EXP_LASER";"EXP_DVD"
2302;1671;"01";160;"0";"0";"0";"0"
2303;1671;"02";146;"0";"0";"0";"0"
2304;1671;"03";110;"0";"0";"0";"0"
2305;1671;"04";200;"0";"0";"0";"0"
2306;1671;"05";125;"0";"0";"0";"0"
2307;1671;"06";136;"0";"0";"0";"0"
2311;1672;"01";195;"1";"0";"0";"0"
2312;1672;"02";206;"1";"0";"0";"0"
2313;1672;"03";97;"1";"0";"0";"0"
2314;1672;"04";97;"1";"0";"0";"0"
2315;1672;"05";97;"1";"0";"0";"0"
2316;1672;"06";97;"1";"0";"0";"0"
2317;1672;"07";97;"1";"0";"0";"0"
2320;1673;"01";242;"1";"0";"0";"0"
2321;1673;"02";242;"1";"0";"0";"0"
2322;1673;"03";293;"1";"0";"0";"0"
2323;1673;"04";293;"1";"0";"0";"0"
2324;1673;"05";242;"1";"0";"0";"0"
2325;1673;"06";282;"1";"0";"0";"0"
2326;1673;"07";479;"1";"0";"0";"0"
2327;1673;"08";136;"1";"0";"0";"0"
2329;1674;"01";169;"1";"0";"0";"0"
2330;1674;"02";169;"1";"0";"0";"0"
2331;1674;"03";337;"1";"0";"0";"0"
2332;1674;"04";303;"1";"1";"0";"0"
2333;1674;"05";233;"1";"0";"0";"0"
2334;1674;"06";311;"1";"0";"0";"0"
2335;1674;"07";311;"1";"0";"0";"0"
2336;1674;"08";150;"1";"0";"0";"0"
2337;1675;"01";176;"0";"0";"0";"0"
2338;1675;"02";184;"0";"0";"0";"0"
2339;1675;"03";163;"0";"0";"0";"0"
2340;1675;"04";232;"0";"0";"0";"0"
2341;1675;"05";338;"0";"1";"0";"0"
2342;1675;"06";278;"0";"0";"0";"0"
2343;1675;"07";152;"0";"0";"0";"0"
2344;1675;"08";160;"0";"0";"0";"0"
2345;1675;"09";167;"0";"0";"0";"0"
2346;1676;"01";295;"1";"1";"0";"0"
2347;1676;"02";140;"1";"0";"0";"0"
2348;1676;"03";220;"1";"0";"0";"0"
2349;1676;"04";170;"1";"0";"0";"0"
2350;1676;"05";220;"1";"0";"0";"0"
2351;1676;"06";141;"1";"0";"0";"0"
2352;1676;"07";183;"1";"0";"0";"0"
2353;1676;"08";131;"1";"0";"0";"0"
2354;1677;"01";144;"1";"0";"0";"0"
2355;1677;"02";160;"1";"0";"0";"0"
2356;1677;"03";144;"1";"0";"0";"0"
2357;1677;"04";160;"1";"0";"0";"0"
2358;1677;"05";144;"1";"0";"0";"0"
2359;1677;"06";146;"1";"0";"0";"0"
2360;1677;"07";336;"1";"0";"0";"0"
2361;1677;"08";270;"1";"0";"0";"0"
2362;1678;"01";196;"0";"0";"0";"0"
2363;1678;"02";196;"0";"0";"0";"0"
2364;1678;"03";171;"0";"0";"0";"0"
2365;1678;"04";257;"0";"0";"0";"0"
2366;1678;"05";252;"0";"0";"0";"0"
2367;1678;"06";425;"0";"1";"0";"0"
2368;1678;"07";252;"0";"0";"0";"0"
2369;1678;"08";257;"0";"0";"0";"0"
2370;1678;"09";193;"0";"0";"0";"0"
2371;1678;"10";50;"0";"0";"0";"0"
2372;1679;"01";166;"0";"0";"0";"0"
2373;1679;"02";172;"0";"0";"0";"0"
2374;1679;"03";149;"0";"0";"0";"0"
2375;1679;"04";171;"0";"0";"0";"0"
2376;1679;"05";172;"0";"0";"0";"0"
2377;1679;"06";150;"0";"0";"0";"0"
2378;1679;"07";300;"0";"0";"0";"0"
2379;1679;"08";30;"0";"0";"0";"0"
2380;1680;"01";40;"1";"0";"0";"0"
2381;1680;"02";142;"1";"0";"0";"0"
2382;1680;"03";159;"1";"0";"0";"0"
2383;1680;"04";248;"1";"0";"0";"0"
2384;1680;"05";151;"1";"0";"0";"0"
2385;1680;"06";150;"1";"0";"0";"0"
2386;1680;"07";227;"1";"0";"0";"0"
2389;1681;"01";185;"1";"0";"0";"0"
2390;1681;"02";181;"1";"0";"0";"0"
2391;1681;"03";118;"1";"0";"0";"0"
2392;1681;"04";118;"1";"0";"0";"0"
2393;1681;"05";118;"1";"0";"0";"0"
2394;1681;"06";339;"1";"0";"0";"0"
2395;1681;"07";219;"1";"0";"0";"0"
2396;1682;"01";113;"1";"0";"0";"0"
2397;1682;"02";152;"1";"0";"0";"0"
2398;1682;"03";185;"1";"0";"0";"0"
2399;1682;"04";369;"1";"1";"0";"0"
2400;1682;"05";226;"1";"0";"0";"0"
2401;1682;"06";160;"1";"0";"0";"0"
2402;1682;"07";44;"1";"0";"0";"0"
2403;1682;"008 Зал 8";226;"1";"0";"0";"0"
2404;1683;"01";128;"1";"0";"0";"0"
2405;1683;"02";114;"1";"0";"0";"0"
2406;1683;"03";34;"1";"0";"0";"0"
2407;1683;"04";121;"1";"0";"0";"0"
2408;1683;"05";284;"1";"0";"0";"0"
2409;1683;"06";259;"1";"0";"0";"0"
2410;1683;"07";234;"1";"0";"0";"0"
2411;1683;"08";248;"1";"0";"0";"0"
2412;1684;"01";191;"0";"0";"0";"0"
2413;1684;"02";278;"0";"0";"0";"0"
2414;1684;"03";111;"0";"0";"0";"0"
2415;1684;"04";111;"0";"0";"0";"0"
